County_ST,County,Bank Deposits,State,Year
Mecklenburg_VA,Mecklenburg,76144000,Virginia,2014
Galax City,Galax City,72738000,Virginia,2014
Suffolk City,Suffolk City,71253000,Virginia,2014
Hopewell City,Hopewell City,69510000,Virginia,2014
Halifax,Halifax,67682000,Virginia,2014
Louisa,Louisa,62589000,Virginia,2014
Smyth,Smyth,59444000,Virginia,2014
Appomattox,Appomattox,57763000,Virginia,2014
Norton City,Norton City,53144000,Virginia,2014
Buchanan,Buchanan,57885000,Virginia,2014
Waynesboro City,Waynesboro City,49749000,Virginia,2014
Gloucester,Gloucester,53919000,Virginia,2014
Wise,Wise,56215000,Virginia,2014
Madison_VA,Madison,55852000,Virginia,2014
Prince Edward,Prince Edward,52337000,Virginia,2014
Poquoson City,Poquoson City,50153000,Virginia,2014
Covington City,Covington City,40185000,Virginia,2014
Pulaski,Pulaski,40947000,Virginia,2014
Dickenson,Dickenson,42953000,Virginia,2014
Amelia,Amelia,39112000,Virginia,2014
Powhatan,Powhatan,33246000,Virginia,2014
Henry_VA,Henry,35775000,Virginia,2014
Nelson,Nelson,33890000,Virginia,2014
Isle Of Wight,Isle Of Wight,35753000,Virginia,2014
Radford,Radford,39871000,Virginia,2014
Pittsylvania,Pittsylvania,50510000,Virginia,2014
Rockbridge,Rockbridge,74948000,Virginia,2014
Jefferson,Jefferson,3539231000,Alabama,2014
Montgomery_AL,Montgomery,747173000,Alabama,2014
Baldwin,Baldwin,512559000,Alabama,2014
Mobile,Mobile,561541000,Alabama,2014
Madison_AL,Madison,572794000,Alabama,2014
Shelby_AL,Shelby,336300000,Alabama,2014
Houston_AL,Houston,313812000,Alabama,2014
Calhoun_AL,Calhoun,247995000,Alabama,2014
Tuscaloosa,Tuscaloosa,195727000,Alabama,2014
Lee_AL,Lee,157374000,Alabama,2014
Etowah,Etowah,154895000,Alabama,2014
Marshall,Marshall,152861000,Alabama,2014
Colbert,Colbert,40568000,Alabama,2014
Covington,Covington,124501000,Alabama,2014
Morgan,Morgan,118202000,Alabama,2014
Lauderdale,Lauderdale,102897000,Alabama,2014
Cullman,Cullman,97210000,Alabama,2014
Dale,Dale,91040000,Alabama,2014
Coffee_AL,Coffee,84316000,Alabama,2014
Tallapoosa,Tallapoosa,74952000,Alabama,2014
Marion_AL,Marion,75286000,Alabama,2014
Dallas,Dallas,74244000,Alabama,2014
Pike,Pike,68780000,Alabama,2014
Russell,Russell,44937000,Alabama,2014
Walker_AL,Walker,36574000,Alabama,2014
Autauga,Autauga,29723000,Alabama,2014
Henry_AL,Henry,30608000,Alabama,2014
Talladega,Talladega,25293000,Alabama,2014
Elmore,Elmore,22514000,Alabama,2014
Randolph_AL,Randolph,18277000,Alabama,2014
Clay_AL,Clay,14656000,Alabama,2014
